0,1
1. Time: Mon Nov 05 10:35:48 EET 2018,Probability 0 : 0.5592161479160465Probability 1 : 0.44078385208395365
2. Time: Mon Nov 05 10:35:51 EET 2018,Probability 0 : 0.553850206719278Probability 1 : 0.44614979328072224
3. Time: Mon Nov 05 10:35:54 EET 2018,Probability 0 : 0.582269193872551Probability 1 : 0.41773080612744884
4. Time: Mon Nov 05 10:36:02 EET 2018,Probability 0 : 0.6377670233776483Probability 1 : 0.36223297662235154
5. Time: Mon Nov 05 10:36:16 EET 2018,Probability 0 : 0.6383385377716327Probability 1 : 0.3616614622283672
6. Time: Mon Nov 05 10:36:59 EET 2018,Probability 0 : 0.6053702081172518Probability 1 : 0.3946297918827482
7. Time: Mon Nov 05 10:37:11 EET 2018,Probability 0 : 0.645614625396635Probability 1 : 0.35438537460336506
8. Time: Mon Nov 05 10:37:31 EET 2018,Probability 0 : 0.6988117152934848Probability 1 : 0.30118828470651515
9. Time: Mon Nov 05 10:37:37 EET 2018,Probability 0 : 0.7066458197495278Probability 1 : 0.2933541802504721
10. Time: Mon Nov 05 10:37:41 EET 2018,Probability 0 : 0.7248197417515411Probability 1 : 0.27518025824845876
11. Time: Mon Nov 05 10:38:28 EET 2018,Probability 0 : 0.7211723573426849Probability 1 : 0.2788276426573152
12. Time: Mon Nov 05 10:38:43 EET 2018,Probability 0 : 0.7514350126166262Probability 1 : 0.24856498738337382
13. Time: Mon Nov 05 10:39:12 EET 2018,Probability 0 : 0.7600976839942153Probability 1 : 0.2399023160057848
14. Time: Mon Nov 05 10:39:15 EET 2018,Probability 0 : 0.7646281604907869Probability 1 : 0.2353718395092132
15. Time: Mon Nov 05 10:39:22 EET 2018,Probability 0 : 0.8036372398448142Probability 1 : 0.19636276015518572
16. Time: Mon Nov 05 10:39:24 EET 2018,Probability 0 : 0.7735389825826637Probability 1 : 0.2264610174173362
17. Time: Mon Nov 05 10:39:31 EET 2018,Probability 0 : 0.7776602385773072Probability 1 : 0.22233976142269288
18. Time: Mon Nov 05 10:39:33 EET 2018,Probability 0 : 0.7739831536956435Probability 1 : 0.2260168463043565
19. Time: Mon Nov 05 10:39:36 EET 2018,Probability 0 : 0.8122801098811049Probability 1 : 0.1877198901188951
20. Time: Mon Nov 05 10:40:30 EET 2018,Probability 0 : 0.8498729822011224Probability 1 : 0.15012701779887763
21. Time: Mon Nov 05 10:41:04 EET 2018,Probability 0 : 0.839962311873714Probability 1 : 0.16003768812628616
22. Time: Mon Nov 05 10:41:32 EET 2018,Probability 0 : 0.840748063110396Probability 1 : 0.15925193688960393
23. Time: Mon Nov 05 10:41:34 EET 2018,Probability 0 : 0.8332114878297535Probability 1 : 0.16678851217024648
24. Time: Mon Nov 05 10:42:53 EET 2018,Probability 0 : 0.8400281170428139Probability 1 : 0.15997188295718617
25. Time: Mon Nov 05 10:42:56 EET 2018,Probability 0 : 0.8060680221299542Probability 1 : 0.19393197787004593
26. Time: Mon Nov 05 10:42:58 EET 2018,Probability 0 : 0.872572720171673Probability 1 : 0.1274272798283272
27. Time: Mon Nov 05 10:47:26 EET 2018,Probability 0 : 0.8769546771720226Probability 1 : 0.12304532282797735
28. Time: Mon Nov 05 10:47:43 EET 2018,Probability 0 : 0.890239335309307Probability 1 : 0.10976066469069297
29. Time: Mon Nov 05 10:47:47 EET 2018,Probability 0 : 0.8607597604722359Probability 1 : 0.13924023952776401
30. Time: Mon Nov 05 10:47:53 EET 2018,Probability 0 : 0.8480173227673322Probability 1 : 0.1519826772326678
31. Time: Mon Nov 05 10:48:09 EET 2018,Probability 0 : 0.8614046773467866Probability 1 : 0.1385953226532134
32. Time: Mon Nov 05 10:48:30 EET 2018,Probability 0 : 0.8107250552546208Probability 1 : 0.18927494474537906
33. Time: Mon Nov 05 10:48:42 EET 2018,Probability 0 : 0.8154538280158411Probability 1 : 0.18454617198415882
34. Time: Mon Nov 05 10:48:57 EET 2018,Probability 0 : 0.8105590916666328Probability 1 : 0.18944090833336705
